Data;12101 - Operações de crédito com recursos livres concedidos por cooperativa de crédito - pessoas físicas - rural - R$ (milhões);12102 - Operações de crédito com recursos livres concedidos  por cooperativa de crédito - pessoas físicas - empréstimos de mútuo - R$ (milhões);12103 - Operações de                crédito com recursos livres concedidos por cooperativa                  de crédito - pessoas físicas - total - R$ (milhões);12132 - Operações de crédito do sistema financeiro com recursos direcionados concedidos por Cooperativas - Rural - R$ (milhões);13702 - Operações de crédito livres das cooperativas - pessoas físicas/PIB - %;14096 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Sudeste - Total - R$ (milhões);17481 - Crédito com recursos livres das cooperativas - pessoas físicas/PIB - %
05/2008;991 ;13.070 ;14.061 ;4.036 ;0,5 ;549.616 ;0,5
06/2008;981 ;13.431 ;14.412 ;4.131 ;0,5 ;563.561 ;0,5
07/2008;1.014 ;13.773 ;14.787 ;3.902 ;0,5 ;573.585 ;0,5
08/2008;1.067 ;14.320 ;15.387 ;4.109 ;0,5 ;588.482 ;0,5
09/2008;1.094 ;14.908 ;16.002 ;4.784 ;0,5 ;607.825 ;0,5
10/2008;1.135 ;15.373 ;16.508 ;5.064 ;0,5 ;628.667 ;0,6
11/2008;1.161 ;15.654 ;16.814 ;5.118 ;0,5 ;642.161 ;0,6
12/2008;1.193 ;15.755 ;16.947 ;5.008 ;0,5 ;647.450 ;0,6
01/2009;1.225 ;15.856 ;17.082 ;4.974 ;0,6 ;646.317 ;0,6
02/2009;1.229 ;15.891 ;17.120 ;5.046 ;0,6 ;651.953 ;0,6
03/2009;2.482 ;16.488 ;18.970 ;3.726 ;0,6 ;656.090 ;0,6
04/2009;2.504 ;16.519 ;19.023 ;4.162 ;0,6 ;660.553 ;0,6
05/2009;2.478 ;16.620 ;19.098 ;4.682 ;0,6 ;665.670 ;0,6
06/2009;2.351 ;16.767 ;19.118 ;3.363 ;0,6 ;675.355 ;0,6
07/2009;2.103 ;16.978 ;19.082 ;3.634 ;0,6 ;693.729 ;0,6
08/2009;2.369 ;17.284 ;19.653 ;4.100 ;0,6 ;704.262 ;0,6
09/2009;2.658 ;17.430 ;20.087 ;3.898 ;0,6 ;717.563 ;0,6
10/2009;2.763 ;17.760 ;20.524 ;4.014 ;0,7 ;728.560 ;0,7
11/2009;2.783 ;18.066 ;20.849 ;4.110 ;0,7 ;743.383 ;0,7
12/2009;2.893 ;18.207 ;21.101 ;4.111 ;0,7 ;754.126 ;0,7
01/2010;2.974 ;18.493 ;21.468 ;4.191 ;0,7 ;765.649 ;0,7
02/2010;3.084 ;18.709 ;21.793 ;4.115 ;-;770.580 ;0,7
03/2010;3.247 ;18.919 ;22.166 ;4.139 ;-;772.646 ;0,7
04/2010;3.462 ;19.160 ;22.623 ;4.125 ;-;781.339 ;0,7
05/2010;3.494 ;19.324 ;22.818 ;4.243 ;-;796.801 ;0,7
06/2010;3.256 ;19.591 ;22.847 ;4.104 ;-;819.205 ;0,7
07/2010;2.929 ;19.916 ;22.845 ;3.951 ;-;830.976 ;0,6
08/2010;3.230 ;20.215 ;23.445 ;4.287 ;-;847.073 ;0,7
09/2010;3.328 ;20.521 ;23.849 ;4.473 ;-;865.167 ;0,7
10/2010;3.355 ;20.894 ;24.249 ;4.758 ;-;884.454 ;0,7
11/2010;3.430 ;21.347 ;24.777 ;4.877 ;-;899.609 ;0,7
12/2010;3.464 ;21.824 ;25.289 ;4.897 ;-;910.542 ;0,7
01/2011;3.522 ;22.346 ;25.868 ;4.954 ;-;916.640 ;0,7
02/2011;3.553 ;22.907 ;26.460 ;4.996 ;-;929.897 ;0,7
03/2011;3.536 ;23.189 ;26.725 ;5.205 ;-;937.695 ;0,7
04/2011;3.536 ;23.636 ;27.172 ;5.354 ;-;950.511 ;0,7
05/2011;3.516 ;24.102 ;27.618 ;5.428 ;-;964.374 ;0,7
06/2011;3.355 ;24.577 ;27.933 ;9.133 ;-;981.242 ;0,7
07/2011;3.718 ;25.049 ;28.767 ;4.439 ;-;994.409 ;0,7
08/2011;3.472 ;25.551 ;29.023 ;5.725 ;-;1.008.488 ;0,7
09/2011;4.067 ;26.007 ;30.074 ;5.627 ;-;1.034.116 ;0,7
10/2011;4.183 ;26.639 ;30.823 ;5.778 ;-;1.043.219 ;0,8
11/2011;4.273 ;27.168 ;31.441 ;5.860 ;-;1.064.546 ;0,8
12/2011;4.316 ;27.794 ;32.110 ;5.898 ;-;1.086.588 ;0,8
01/2012;4.387 ;28.210 ;32.597 ;6.218 ;-;1.088.861 ;0,8
02/2012;4.460 ;28.496 ;32.956 ;6.491 ;-;1.093.676 ;0,8
03/2012;4.727 ;29.635 ;34.362 ;5.801 ;-;1.113.299 ;0,8
04/2012;4.728 ;30.208 ;34.936 ;5.672 ;-;1.125.400 ;0,8
05/2012;4.701 ;30.295 ;34.996 ;6.291 ;-;1.142.026 ;0,8
06/2012;4.785 ;30.393 ;35.178 ;6.686 ;-;1.158.113 ;0,8
07/2012;4.903 ;30.675 ;35.579 ;6.136 ;-;1.168.606 ;0,8
08/2012;5.044 ;31.421 ;36.466 ;7.431 ;-;1.180.254 ;0,8
09/2012;5.109 ;32.992 ;38.101 ;6.878 ;-;1.192.680 ;0,9
10/2012;5.256 ;33.275 ;38.531 ;7.404 ;-;1.209.504 ;0,9
11/2012;5.368 ;33.936 ;39.305 ;7.902 ;-;1.224.992 ;0,9
12/2012;5.422 ;34.021 ;39.443 ;9.048 ;-;1.254.446 ;0,9
01/2013;-;-;-;-;-;1.251.070 ;-
02/2013;-;-;-;-;-;1.259.333 ;-
03/2013;-;-;-;-;-;1.279.785 ;-
04/2013;-;-;-;-;-;1.290.752 ;-
05/2013;-;-;-;-;-;1.306.390 ;-
06/2013;-;-;-;-;-;1.327.495 ;-
07/2013;-;-;-;-;-;1.334.362 ;-
08/2013;-;-;-;-;-;1.349.247 ;-
09/2013;-;-;-;-;-;1.361.255 ;-
10/2013;-;-;-;-;-;1.367.612 ;-
11/2013;-;-;-;-;-;1.388.776 ;-
12/2013;-;-;-;-;-;1.420.600 ;-
01/2014;-;-;-;-;-;1.421.951 ;-
02/2014;-;-;-;-;-;1.433.550 ;-
03/2014;-;-;-;-;-;1.458.749 ;-
04/2014;-;-;-;-;-;1.474.187 ;-
05/2014;-;-;-;-;-;1.489.862 ;-
06/2014;-;-;-;-;-;1.505.887 ;-
07/2014;-;-;-;-;-;1.509.399 ;-
08/2014;-;-;-;-;-;1.523.101 ;-
09/2014;-;-;-;-;-;1.540.273 ;-
10/2014;-;-;-;-;-;1.552.174 ;-
11/2014;-;-;-;-;-;1.570.413 ;-
12/2014;-;-;-;-;-;1.603.091 ;-
01/2015;-;-;-;-;-;1.602.523 ;-
02/2015;-;-;-;-;-;1.608.725 ;-
03/2015;-;-;-;-;-;1.628.593 ;-
04/2015;-;-;-;-;-;1.632.341 ;-
05/2015;-;-;-;-;-;1.645.841 ;-
06/2015;-;-;-;-;-;1.658.568 ;-
07/2015;-;-;-;-;-;1.664.917 ;-
08/2015;-;-;-;-;-;1.679.756 ;-
09/2015;-;-;-;-;-;1.696.976 ;-
10/2015;-;-;-;-;-;1.693.602 ;-
11/2015;-;-;-;-;-;1.707.361 ;-
12/2015;-;-;-;-;-;1.732.269 ;-
01/2016;-;-;-;-;-;1.719.660 ;-
02/2016;-;-;-;-;-;1.711.561 ;-
03/2016;-;-;-;-;-;1.697.920 ;-
04/2016;-;-;-;-;-;1.685.395 ;-
05/2016;-;-;-;-;-;1.691.821 ;-
06/2016;-;-;-;-;-;1.682.257 ;-
07/2016;-;-;-;-;-;1.674.908 ;-
08/2016;-;-;-;-;-;1.673.656 ;-
09/2016;-;-;-;-;-;1.669.664 ;-
10/2016;-;-;-;-;-;1.659.796 ;-
11/2016;-;-;-;-;-;1.657.926 ;-
12/2016;-;-;-;-;-;1.649.962 ;-
01/2017;-;-;-;-;-;1.629.728 ;-
02/2017;-;-;-;-;-;1.629.070 ;-
03/2017;-;-;-;-;-;1.630.811 ;-
04/2017;-;-;-;-;-;1.621.838 ;-
05/2017;-;-;-;-;-;1.620.237 ;-
06/2017;-;-;-;-;-;1.624.754 ;-
07/2017;-;-;-;-;-;1.610.088 ;-
08/2017;-;-;-;-;-;1.605.715 ;-
09/2017;-;-;-;-;-;1.607.140 ;-
10/2017;-;-;-;-;-;1.605.252 ;-
11/2017;-;-;-;-;-;1.611.949 ;-
12/2017;-;-;-;-;-;1.618.056 ;-
01/2018;-;-;-;-;-;1.599.913 ;-
02/2018;-;-;-;-;-;1.592.784 ;-
03/2018;-;-;-;-;-;1.604.675 ;-
04/2018;-;-;-;-;-;1.607.532 ;-
05/2018;-;-;-;-;-;1.611.047 ;-
06/2018;-;-;-;-;-;1.623.836 ;-
07/2018;-;-;-;-;-;1.619.247 ;-
08/2018;-;-;-;-;-;1.635.227 ;-
09/2018;-;-;-;-;-;1.641.174 ;-
10/2018;-;-;-;-;-;1.631.660 ;-
11/2018;-;-;-;-;-;1.650.039 ;-
12/2018;-;-;-;-;-;1.682.631 ;-
01/2019;-;-;-;-;-;1.663.354 ;-
02/2019;-;-;-;-;-;1.665.400 ;-
03/2019;-;-;-;-;-;1.677.846 ;-
04/2019;-;-;-;-;-;1.671.268 ;-
05/2019;-;-;-;-;-;1.677.516 ;-
06/2019;-;-;-;-;-;1.678.262 ;-
07/2019;-;-;-;-;-;1.670.902 ;-
08/2019;-;-;-;-;-;1.688.107 ;-
09/2019;-;-;-;-;-;1.706.314 ;-
10/2019;-;-;-;-;-;1.702.744 ;-
11/2019;-;-;-;-;-;1.722.489 ;-
12/2019;-;-;-;-;-;1.752.040 ;-
01/2020;-;-;-;-;-;1.738.523 ;-
02/2020;-;-;-;-;-;1.747.231 ;-
03/2020;-;-;-;-;-;1.810.664 ;-
04/2020;-;-;-;-;-;1.811.555 ;-
05/2020;-;-;-;-;-;1.818.092 ;-
06/2020;-;-;-;-;-;1.838.220 ;-
07/2020;-;-;-;-;-;1.861.624 ;-
08/2020;-;-;-;-;-;1.895.632 ;-
09/2020;-;-;-;-;-;1.929.969 ;-
10/2020;-;-;-;-;-;1.957.855 ;-
11/2020;-;-;-;-;-;1.998.542 ;-
12/2020;-;-;-;-;-;2.025.311 ;-
01/2021;-;-;-;-;-;2.015.041 ;-
02/2021;-;-;-;-;-;2.050.470 ;-
03/2021;-;-;-;-;-;2.082.912 ;-
04/2021;-;-;-;-;-;2.091.004 ;-
05/2021;-;-;-;-;-;2.114.751 ;-
06/2021;-;-;-;-;-;2.126.586 ;-
07/2021;-;-;-;-;-;2.138.864 ;-
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB;BCB-DSTAT
